2025학년도 2학년 추천도서

[표]
청주교대 부설초 글나래 꿈샘터 | ※ 추천도서목록은 양질의 책을 안내하고 어떤 책을 읽어야 할지 고민되는 친구들을 위한 목록이예요. 학년별로만 읽어야하 는 것은 아니예요. 학생 개인의 선호와 독서 능력에 맞춰 즐거운 책 읽기를 하시길 바랍니다. 1학년 추천도서라 표시했다 고 해서 1학년 학생만 읽을 수 있고, 2-6학년 학생은 읽을 수 없다는 뜻이 아닙니다. 1학년부터 읽을 수 있다는 의미로 받 아들이면 좋겠어요. 자신의 독서 수준과 흥미에 따라 선택의 폭을 넓게 열어 두어야 해요. 다양한 주제의 책을 골고루 읽는 습관을 가지고 자신에게 알맞은 책을 읽다보면 여러분 몸과 마음이 매일 성장 발달하고 있듯이 독서 능력도 쑥쑥 자라날 것입니다. 읽었어요 칸에는 내용이 좋거나 재미있었으면 ☆, 잘 모르겠으면 △로 표시해 보세요.
| ※ 추천도서는 학교도서관에 학년별로 책등에 학년 표시(예:1추천) 라벨이 부착 되어 한 곳에 비치되어 있으니 참고하여 이 용하세요.

번호 | 책이름 | 지 은 이 | 출판사 | 읽었어요
1 | 2주세요! | 김성화 | 만만한책방 |
2 | 가정 통신문 소동 | 송미경 | 스콜라 |
3 | 가짜 뉴스 | 엘리즈 그라벨 | 아울북 |
4 | 공감 씨는 힘이 세! | 김성은 | 책읽는곰 |
5 | 국경일은 어떤 날일까요? | 송윤섭 | 주니어김영사 |
6 | 귀 큰 토끼의 고민 상담소 | 김유 | 시공주니어 |
7 | 귤 양말이 사라졌어 | 황지영 | 위즈덤하우스 |
8 | 그 녀석, 걱정 | 안단테 | 우주나무 |
9 | 그 소문 들었어? | 하야시 기린 | 천개의바람 |
10 | 깊은 밤 필통 안에서 | 길상효 | 비룡소 |
11 | 까칠 수염 보건 선생님 | 안수민 | 봄개울 |
12 | 꽁멍꽁멍 그림수학 | 장경아 | 와이즈만북스 |
13 | 나는 강물처럼 말해요 | 조던 스콧 | 책읽는곰 |
14 | 나도 상처 받지 않고 친구도 상처 받지 않는 말하기 연습 | 강승임 | 위즈덤하우스 |
15 | 내 멋대로 나 뽑기 | 최은옥 | 주니어김영사 |
16 | 내 이름은 십민준 열민준 이민준 | 이송현 | 위즈덤하우스 |
17 | 내가 예쁘다고? | 황인찬 | 봄볕 |
18 | 너의 장점은? | 최백규 | 창비 |
19 | 늑대의 선거 | 다비드 칼리 | 다림 |
20 | 다른 길로 가 | 마크 콜라지오반니 | 우리학교 |
21 | 대박 쉽게 숙제하는 법 | 천효정 | 비룡소 |
22 | 동의 : 너와 나 사이 무엇보다 중요한 것! | 레이첼 브라이언 | 아울북 |

23 | 두더지의 소원 | 김상근 | 사계절 |
24 | 떴다! 배달룡 선생님 | 박미경 | 창비 |
25 | 띄어쓰기 경주 | 곽미영 | 만만한책방 |
26 | 마음 두꺼비 약국 | 임은정 | 길벗스쿨 |
27 | 마음대로가 자유는 아니야 | 박현희 | 웅진씽크빅 |
28 | 말들이 사는 나라 | 윤여림 | 위즈덤하우스 |
29 | 무영이가 사라졌다 | 임수경 | 뜨인돌어린이 |
30 | 미움 | 조원희 | 만만한책방 |
31 | 버려 버려 스티커 | 주봄 | 북멘토 |
32 | 변신 돼지 | 박주혜 | 비룡소 |
33 | 사계절 생태놀이- 봄,여름,가을,겨울 | 붉나무 | 길벗어린이 |
34 | 세계 나라 사전 | 테즈카 아케미 | 사계절 |
35 | 소피가 화나면 정말정말 화나면 | 몰리뱅 | 책읽는곰 |
36 | 신통방통 길이재기 | 서지원 | 좋은책어린이 |
37 | 아홉 살 함께 사전 | 박성우 | 창비 |
38 | 엄마 사용법 | 김성진 | 창비 |
39 | 에드와르도 세상에서 가장 못된 아이 | 존 버닝햄 | 비룡소 |
40 | 우렁 소녀 발 차기 | 황선애 | 스푼북 |
41 | 우린 모두 기적이야 | R. J. 팔라시오 | 책과콩나무 |
42 | 위기 탈출 도감 | 스즈키 노리타케 | 이아소 |
43 | 이순신을 찾아라 | 김진 | 천개의바람 |
44 | 자, 맡겨 주세요! | 이소영 | 비룡소 |
45 | 짝꿍 | 박정섭 | 위즈덤하우스 |
46 | 책 읽는 강아지 몽몽 | 최은옥 | 비룡소 |
47 | 초코곰과 젤리곰 | 얀 케비 | 한솔수북 |
48 | 쿠키 한 입의 인생수업 | 에이미 크루즈 로젠탈 | 책읽는곰 |
49 | 하늘 마을로 간 택배 | 김경미 | 슈크림북 |
50 | 호박 목욕탕 | 시바타 게이코 | 위즈덤하우스 |
