2025학년도 3학년 추천도서

[표]
청주교대 부설초 글나래 꿈샘터 | ※ 추천도서목록은 양질의 책을 안내하고 어떤 책을 읽어야 할지 고민되는 친구들을 위한 목록이예요. 학년별로만 읽어야하 는 것은 아니예요. 학생 개인의 선호와 독서 능력에 맞춰 즐거운 책 읽기를 하시길 바랍니다. 1학년 추천도서라 표시했다 고 해서 1학년 학생만 읽을 수 있고, 2-6학년 학생은 읽을 수 없다는 뜻이 아닙니다. 1학년부터 읽을 수 있다는 의미로 받 아들이면 좋겠어요. 자신의 독서 수준과 흥미에 따라 선택의 폭을 넓게 열어 두어야 해요. 다양한 주제의 책을 골고루 읽는 습관을 가지고 자신에게 알맞은 책을 읽다보면 여러분 몸과 마음이 매일 성장 발달하고 있듯이 독서 능력도 쑥쑥 자라날 것입니다. 읽었어요 칸에는 내용이 좋거나 재미있었으면 ☆, 잘 모르겠으면 △로 표시해 보세요.
| ※ 추천도서는 학교도서관에 학년별로 책등에 학년 표시(예:1추천) 라벨이 부착 되어 한 곳에 비치되어 있으니 참고하여 이 용하세요.

번호 | 책이름 | 지 은 이 | 출판사 | 읽었어요
1 | 13일의 단톡방 | 방미진 | 상상의집 |
2 | 감정에 이름을 붙여봐 | 이라일라 | 파스텔하우스 |
3 | 감정을 안아 주는 말 | 이현아 | 한빛에듀 |
4 | 강남 사장님 | 이지음 | 비룡소 |
5 | 걱정 세탁소 | 홍민정 | 좋은책어린이 |
6 | 겁보 만보 | 김유 | 책읽는곰 |
7 | 그림으로 만나는 사계절 24절기 | 이여희 | 머스트비 |
8 | 꽝 없는 뽑기 기계 | 곽유진 | 비룡소 |
9 | 나도 저작권이 있어요 | 김기태 글 | 상수리 |
10 | 너는 특별하단다 | 맥스 루카도 | 고슴도치 |
11 | 너와 나의 강낭콩 | 김원아 | 창비교육 |
12 | 도대체 뭐라고 말하지 | 김성은 | 한솔수북 |
13 | 두 배로 카메라 | 성현정 | 비룡소 |
14 | 레기, 내 동생 | 최도영 | 비룡소 |
15 | 마음일기 | 자현 | 노란돼지 |
16 | 마침표 꼭 찍어야 돼요? | 김민영 | 사계쩔 |
17 | 먹거리로 본 기후 변화 식량이 문제야! | 이지유 | 즈덤하우스 |
18 | 멋진 여우씨 | 로얄드 달 | 논장 |
19 | 모니카와 케이티 | 트루디 루드위그 | 서교책방 |
20 | 미미네 점방으로 놀러 오세요! | 서해경 | 아르볼 |
21 | 방방곡곡 우리나라 지리 대장 나강산이 간다! | 권정화 | 가나출판사 |
22 | 사회 계급이 뭐예요? | 플란텔 팀 | 풀빛 |

23 | 새콤달콤 속담 사전 | 한지혜 | 미래와경영 |
24 | 세계 음식 한입에 털어 넣기 | 김인혜 | 사계절 |
25 | 수~상한 호랑이 빵집 | 서지원 | 아르볼 |
26 | 수면마녀와 꿈꾸는 돌멩이 | 윤미경 | 돼지 |
27 | 수학이 정말 우리 세상 곳곳에 있다고? | 후안 사비아 | 찰리북 |
28 | 승승 형제 택배 소동 | 박현정 | 마음이음 |
29 | 아름다운 가치 사전 | 채인선 | 한울림어린이 |
30 | 아무거나 문방구 | 정은정 | 창비 |
31 | 양순이네 떡집 | 김리리 | 비룡소 |
32 | 언제나 다정 죽집 | 우신영 | 비룡소 |
33 | 열두 달 지구하자 | 정다빈 | 주니어 RHK |
34 | 예의 없는 친구들을 대하는 슬기로운 말하기 사전 | 김원아 | 사계절 |
35 | 오늘은 용돈 받는 날 | 연유진 | 풀빛 |
36 | 욕 좀 하는 이유나 | 류재향 | 위즈덤하우스 |
37 | 이상한 무인 아이스크림 가게 | 서아람 | 라곰스쿨 |
38 | 이유가 있어서 멸종했습니다 | 마루야마 다카시 | 위즈덤하우스 |
39 | 일기 고쳐 주는 아이 | 박선화 | 잇츠북어린이 |
40 | 자신만만한 음치 거북이들 | 아구스틴 산체스 아길라르 | 북스그라운드 |
41 | 재활용, 쓰레기를 다시 쓰는 법 | 이영주 | 사계절 |
42 | 찰스 다윈의 엄청난 지렁이 똥 쇼 | 폴리 오언 | |
43 | 책먹는 여우와 이야기 도둑 | 프란치스카 비어만 | 주니어김영사 |
44 | 천하제일 치킨쇼 | 이희정 | 비룡소 |
45 | 출동! 도와줘요 공공 기관 | 손혜령 | 아르볼 |
46 | 콩가면 선생님이 웃었다 | 윤여림 | 천개의바람 |
47 | 쿵푸 아니고 똥푸 | 차영아 | 문학동네 |
48 | 한밤중 달빛 식당 | 이분희 | 비룡소 |
49 | 화 잘 내는 법 | 마키 시노 | 뜨인돌어린이 |
50 | 황당하지만 수학입니다 | 남호영 | 와이즈만북스 |
