2025학년도 4학년 추천도서

[표]
청주교대 부설초 글나래 꿈샘터 | ※ 추천도서목록은 양질의 책을 안내하고 어떤 책을 읽어야 할지 고민되는 친구들을 위한 목록이예요. 학년별로만 읽어야하 는 것은 아니예요. 학생 개인의 선호와 독서 능력에 맞춰 즐거운 책 읽기를 하시길 바랍니다. 1학년 추천도서라 표시했다 고 해서 1학년 학생만 읽을 수 있고, 2-6학년 학생은 읽을 수 없다는 뜻이 아닙니다. 1학년부터 읽을 수 있다는 의미로 받 아들이면 좋겠어요. 자신의 독서 수준과 흥미에 따라 선택의 폭을 넓게 열어 두어야 해요. 다양한 주제의 책을 골고루 읽는 습관을 가지고 자신에게 알맞은 책을 읽다보면 여러분 몸과 마음이 매일 성장 발달하고 있듯이 독서 능력도 쑥쑥 자라날 것입니다. 읽었어요 칸에는 내용이 좋거나 재미있었으면 ☆, 잘 모르겠으면 △로 표시해 보세요.
| ※ 추천도서는 학교도서관에 학년별로 책등에 학년 표시(예:1추천) 라벨이 부착 되어 한 곳에 비치되어 있으니 참고하여 이 용하세요.

번호 | 책이름 | 지 은 이 | 출판사 | 읽었어요
1 | (세계사를 한눈에 꿰뚫는)대단한 지리 | 팀 마샬 | 비룡소 |
2 | (어린이를 위한)4차 산업 혁명 안내서 | 정윤선 | 다락원 |
3 | (어린이를 위한)우리말 어감 사전 | 안상순 | 다락원 |
4 | 4학년 4춘기 | 양승현 | 소원나무 |
5 | 4학년 5반 불평쟁이들 | 전은지 | 책읽는곰 |
6 | 거대 소수로 암호를 만들어 | 김성화 | 와이즈만북스 |
7 | 고려 건국 X파일 | 안미란 | 웅진주니어 |
8 | 고정욱 선생님이 들려주는 다정한 말, 단단한 말 | 고정욱 | 우리학교 |
9 | 공정 : 내가 케이크를 나눈다면 | 소이언 | 우리학교 |
10 | 과학 추리반 아이들 | 윤자영 | 한경키즈 |
11 | 기이한 책장수 조신선 | 정창권 | 사계절 |
12 | 김민형 교수의 수학 추리 탐험대 | 김태호 | 북스그라운드 |
13 | 나라는 우주 | 길상효 외 | 사계절 |
14 | 나만 잘하는게 없어 | 이승민 | 풀빛 |
15 | 내 마음 배송 완료 | 송방순 | 논장 |
16 | 내가 나라를 만든다면? | 밸러리 와이어트 | 토토북 |
17 | 단톡방을 나갔습니다 | 신은영 | 소원나무 |
18 | 도깨비폰을 개통하시겠습니까? | 박하익 | 창비 |
19 | 마음 얼굴 병원 | 김경미 | 소원나무 |
20 | 마트 사장 구드래곤 | 박현숙 | 다산어린이 |
21 | 모두가 원하는 아이 | 위해준 | 웅진주니어 |
22 | 바꿔! | 박상기 | 비룡소 |

23 | 바나나가 더 일찍 오려면 | 정진호 | 사계절 |
24 | 별점 반장 나우주 | 이나영 | 우리학교 |
25 | 비밀 소원 | 김다노 | 사계절 |
26 | 세금 내는 아이들 | 옥효진 | 한국경제신문사 |
27 | 수상한 방송실 | 박현숙 | 북멘토 |
28 | 수상한 수학 감옥 아이들 | 류승재 | 한국경제신문사 |
29 | 순한 맛, 매운 맛 매생이 클럽 아이들 | 이은경 | 한경키즈(한국경제신문) |
30 | 숨은 신발 찾기 | 은영 | 문학동네 |
31 | 시원하게 도와주는 북극곰 센터 | 황지영 | 북스그라운드 |
32 | 심청이 무슨 효녀야? | 이경혜 | 바람의아이들 |
33 | 어린이가 알아야 할 가짜 뉴스와 미디어 리터러시 | 채화영 | 팜파스 |
34 | 어린이를 위한 가상현실과 메타버스 이야기 | 천윤정 | 팜파스 |
35 | 어린이를 위한 데일 카네기의 인간관계론 | 김지연 | 제제의숲 |
36 | 언제나 다정 죽집 | 우신영 | 비룡소 |
37 | 옥효진 선생님의 법과 정치 개념 사전 | 옥효진 | 다산어린이 |
38 | 우리 반 에디슨 | 이여니 | 리틀씨앤톡 |
39 | 우리 반 채무 관계 | 김선정 | 위즈덤하우스 |
40 | 우리 학교가 사라진대요! | 예영 | 마음이음 |
41 | 일주일의 학교 | 김혜진 | 사계절 |
42 | 자신만만 고사성어 | 김은경 | 미래엔 |
43 | 지옥으로 가기 전에 | 황선미 | 위즈덤하우스 |
44 | 쪽지 전쟁 | 전은지 | 큰곰자리 |
45 | 차대기를 찾습니다 | 이금이 | 사계쩔 |
46 | 탄소 중립이 뭐예요? | 장성익 | 풀빛 |
47 | 편의점을 털어라! (역사편) | 이재은 | 북멘토 |
48 | 프런트 데스크 | 켈리 양 | 다산어린이 |
49 | 피자 선거 | 임지형 | 개암나무 |
50 | 행운이 구르는 속도 | 김성운 | 사계절 |
