2025학년도 1학년 추천도서

[표]
청주교대 부설초 글나래 꿈샘터 | ※ 추천도서목록은 양질의 책을 안내하고 어떤 책을 읽어야 할지 고민되는 친구들을 위한 목록이예요. 학년별로만 읽어야하 는 것은 아니예요. 학생 개인의 선호와 독서 능력에 맞춰 즐거운 책 읽기를 하시길 바랍니다. 1학년 추천도서라 표시했다 고 해서 1학년 학생만 읽을 수 있고, 2-6학년 학생은 읽을 수 없다는 뜻이 아닙니다. 1학년부터 읽을 수 있다는 의미로 받 아들이면 좋겠어요. 자신의 독서 수준과 흥미에 따라 선택의 폭을 넓게 열어 두어야 해요. 다양한 주제의 책을 골고루 읽는 습관을 가지고 자신에게 알맞은 책을 읽다보면 여러분 몸과 마음이 매일 성장 발달하고 있듯이 독서 능력도 쑥쑥 자라날 것입니다. 읽었어요 칸에는 내용이 좋거나 재미있었으면 ☆, 잘 모르겠으면 △로 표시해 보세요.
| ※ 추천도서는 학교도서관에 학년별로 책등에 학년 표시(예:1추천) 라벨이 부착 되어 한 곳에 비치되어 있으니 참고하여 이 용하세요.

번호 | 책이름 | 지 은 이 | 출판사 | 읽었어요
1 | (먹고 놀고 즐기는)열두 달 기념일 | 전미경 | 길벗스쿨 |
2 | 가방을 열면 | 이영림 | 봄봄출판사 |
3 | 감기 걸린 물고기 | 박정섭 | 사계절 |
4 | 감정 호텔 | 리디아 브란코비치 | 책읽는곰 |
5 | 거절은 너무 어려워! | 윤미경 | 국민서관 |
6 | 고구마구마 | 사이다 | 반달 |
7 | 고민 식당 | 이주희 | 한림출판사 |
8 | 기분을 말해 봐! | 앤서니 브라운 | 웅진주니어 |
9 | 나는 약속을 지켜요 | 다카하마 마사노부 | 피카주니어 |
10 | 나와 가족 | 조승현 | 미래엔아이세움 |
11 | 내 마음 ㅅㅅㅎ | 김지영 | 사계절 |
12 | 내 모자 어디갔을까? | 존 클라센 | 시공주니어 |
13 | 네 느낌은 어떤 모습이니? | 앤디 J. 피자 | 불광출판사 |
14 | 눈물 바다 | 서현 | 사계절 |
15 | 달과 지구가 다툰 날 | 데이비드 더프 | 북극곰 |
16 | 달라도 친구 | 허은미 | 웅진주니어 |
17 | 두근두근 걱정 대장 | 우미옥 | 비룡소 |
18 | 마법의 빨간 공 | 마쓰오카 코우 | 우리학교 |
19 | 마음 버스 | 김유 | 천개의 바람 |
20 | 몽글몽글 편의점 | 김영진 | 책읽는곰 |
21 | 받침구조대 | 곽미영 | 만만한책방 |
22 | 불만이 있어요 | 요시타케 신스케 | 주니어김영사 |

23 | 선생님은 몬스터 | 피터 브라운 | 사계절 |
24 | 세계와 만나는 그림책 | 테즈카 아케미 | 사계절 |
25 | 수박 수영장 | 안녕달 | 창비 |
26 | 아픈 날 | 이은서 | 책읽는곰 |
27 | 야옹이 수영 교실 | 신현경 | 북스그라운드 |
28 | 열두 달 나무 아이 | 최숙희 | 책읽는곰 |
29 | 오싹오싹 당근! | 에런 레이놀즈 | 주니어RHK |
30 | 완벽한 아이 팔아요 | 미카엘 에스코피에 | 길벗스쿨 |
31 | 왜 맞춤법에 맞게 써야돼? | 박규빈 | 길벗어린이 |
32 | 욕심은 그만, 레이스 장갑! | 유설화 | 책읽는곰 |
33 | 우리 동네 슈퍼맨 | 허은실 | 창비 |
34 | 우리 집 식탁이 사라졌어요! | 피터 H. 레이놀즈 | 우리학교 |
35 | 우리가 케이크를 먹는 방법 | 김효은 | 문학동네 |
36 | 위를 봐요! | 정진호 | 은나팔 |
37 | 장수탕 선녀님 | 백희나 | 책읽는곰 |
38 | 종알 종알 수 세기 | 황근기 | 살림어린이 |
39 | 지각대장 존 | 존 버닝햄 | 비룡소 |
40 | 초능력 | 윤여림 | 위즈덤하우스 |
41 | 친구가 미운 날 | 가사이 마리 | 책읽는곰 |
42 | 친구를 모두 잃어버리는 방법 | 신형건 | 보물창고 |
43 | 친구의 전설 | 이지은 | 웅진주니어 |
44 | 태극기는 참 쉽다 | 이형진 | 풀빛 |
45 | 틀려도 괜찮아 | 마키타 신지 | 토토북 |
46 | 파닥파닥 해바라기 | 보람 | 길벗어린이 |
47 | 프레드릭 | 레오 리오니 | 시공주니어 |
48 | 학교가 즐거울 수밖에 없는 12가지 이유 | 노은주 | 단비어린이 |
49 | 학교에 갈 때 꼭꼭 약속해 | 박은경 | 책읽는곰 |
50 | 할머니의 용궁 여행 | 권민조 | 천개의바람 |
